timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1543437486545,393,getAllPersonRequestLoad,200,OK,Grupa wątków 2-60,text,true,,321,131,100,101,393,0,0
1543437486725,214,getAllPersonRequestLoad,200,OK,Grupa wątków 2-98,text,true,,321,131,100,101,214,0,0
1543437486648,293,getAllPersonRequestLoad,200,OK,Grupa wątków 2-45,text,true,,321,131,100,101,293,0,1
1543437486449,494,getAllPersonRequestLoad,200,OK,Grupa wątków 2-27,text,true,,321,131,100,101,494,0,0
1543437486717,229,getAllPersonRequestLoad,200,OK,Grupa wątków 2-11,text,true,,321,131,100,101,229,0,1
1543437486721,228,getAllPersonRequestLoad,200,OK,Grupa wątków 2-8,text,true,,321,131,100,101,228,0,1
1543437486655,298,getAllPersonRequestLoad,200,OK,Grupa wątków 2-2,text,true,,321,131,100,101,298,0,1
1543437486481,477,getAllPersonRequestLoad,200,OK,Grupa wątków 2-90,text,true,,321,131,100,101,477,0,0
1543437486537,428,getAllPersonRequestLoad,200,OK,Grupa wątków 2-44,text,true,,321,131,100,101,428,0,0
1543437486515,450,getAllPersonRequestLoad,200,OK,Grupa wątków 2-7,text,true,,321,131,100,101,450,0,1
1543437486472,499,getAllPersonRequestLoad,200,OK,Grupa wątków 2-79,text,true,,321,131,100,101,498,0,1
1543437486487,485,getAllPersonRequestLoad,200,OK,Grupa wątków 2-36,text,true,,321,131,100,101,485,0,0
1543437486477,505,getAllPersonRequestLoad,200,OK,Grupa wątków 2-78,text,true,,321,131,100,101,505,0,1
1543437486529,455,getAllPersonRequestLoad,200,OK,Grupa wątków 2-22,text,true,,321,131,100,101,455,0,1
1543437486457,529,getAllPersonRequestLoad,200,OK,Grupa wątków 2-37,text,true,,321,131,100,101,529,0,1
1543437486461,526,getAllPersonRequestLoad,200,OK,Grupa wątków 2-3,text,true,,321,131,100,101,526,0,1
